DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
OLD_MUTUAL_ISLE_OF_MAN,a26Qz000000MlQWIA0,Old Mutual (Isle of Man),a264J000001QEXgQAO,false,false,false,false,
OLD_MUTUAL_WEALTH,a26Qz000000MlQXIA0,Old Mutual Wealth,a264J000001QEXhQAO,false,false,false,false,
OMI,a26Qz000000MlQYIA0,OMI,a264J000001QEXiQAO,false,false,false,false,
ONEFAMILY,a26Qz000000MlQZIA0,OneFamily,a264J000001QEXjQAO,false,false,false,false,
PARAGON,a26Qz000000MlQaIAK,Paragon,a264J000001QEXkQAO,false,false,false,false,
PARMENION_CAPITAL_PARTNERS,a26Qz000000MlQbIAK,Parmenion Capital Partners,a264J000001QEXlQAO,false,false,false,false,
PATRONUS_PARTNERS,a26Qz000000MlQcIAK,Patronus Partners,a264J000001QEXmQAO,false,false,false,false,
PENINSULA_PENSIONS,a26Qz000000MlQdIAK,Peninsula Pensions,a264J000001QEXnQAO,false,false,false,false,
PENSIONBEE,a26Qz000000MlQeIAK,PensionBee,a264J000001QEXoQAO,false,false,false,false,
PEOPLES_PENSION,a26Qz000000MlQfIAK,Peoples Pension,a264J000001QEXpQAO,false,false,false,false,
PHOENIX_LIFE,a26Qz000000MlQgIAK,Phoenix Life,a264J000001QEXqQAO,false,false,false,false,
PHOENIX_WEALTH,a26Qz000000MlQhIAK,Phoenix Wealth,a264J000001QEXrQAO,false,false,false,false,
POST_OFFICE_MONEY,a26Qz000000MlQiIAK,Post Office Money,a264J000001QEXsQAO,false,false,false,false,
PREMIER_VEOLIA_GROUP,a26Qz000000MlQjIAK,Premier (Veolia Group),a264J000001QEXtQAO,false,false,false,false,
PREVILABOR,a26Qz000000MlQkIAK,Previlabor,a264J000001QEXuQAO,false,false,false,false,
PRINCIPALITY,a26Qz000000MlQlIAK,Principality,a264J000001QEXvQAO,false,false,false,false,
PROCTOR__GAMBLE_PENSION_FUND_CAPITA,a26Qz000000MlQmIAK,Proctor & Gamble Pension Fund (Capita),a264J000001QEXwQAO,false,false,false,false,
PRUDENTIAL,a26Qz000000MlQnIAK,Prudential,a264J000001QEXxQAO,false,false,false,false,
RAILWAYS,a26Qz000000MlQoIAK,Railways,a264J000001QEXyQAO,false,false,false,false,
RATHBONES,a26Qz000000MlQpIAK,Rathbones,a264J000001QEXzQAO,false,false,false,false,
RBC_CEES,a26Qz000000MlQqIAK,RBC Cees,a264J000001QEY0QAO,false,false,false,false,
RBS_LEGAL__GENERAL,a26Qz000000MlQrIAK,RBS (Legal & General),a264J000001QEY1QAO,false,false,false,false,
RBS_WILLIS_TOWERS_WATSON,a26Qz000000MlQsIAK,RBS (Willis Towers Watson),a264J000001QEY2QAO,false,false,false,false,
RBS_CHILD_TRUST_FUNDS,a26Qz000000MlQtIAK,RBS Child Trust Funds,a264J000001QEY3QAO,false,false,false,false,
RBS_COLLECTIVE_FUND,a26Qz000000MlQuIAK,RBS Collective Fund,a264J000001QEY4QAO,false,false,false,false,
REASSURE,a26Qz000000MlQvIAK,ReAssure,a264J000001QEY5QAO,false,false,false,false,
REDMAYNE_BENTLEY,a26Qz000000MlQwIAK,Redmayne Bentley,a264J000001QEY6QAO,false,false,false,false,
RL360,a26Qz000000MlQxIAK,RL360,a264J000001QEY7QAO,false,false,true,false,RL360
ROLLSROYCE,a26Qz000000MlQyIAK,Rolls-Royce,a264J000001QEY8QAO,false,false,false,false,
ROTHESAY_LIFE,a26Qz000000MlQzIAK,Rothesay Life,a264J000001QEY9QAO,false,false,false,false,
ROTHSCHILD__CO,a26Qz000000MlR0IAK,Rothschild & Co,a264J000001QEYAQA4,false,false,false,false,
ROWANMOOR,a26Qz000000MlR1IAK,Rowanmoor,a264J000001QEYBQA4,false,false,false,false,
ROYAL_LONDON,a26Qz000000MlR2IAK,Royal London,a264J000001QEYCQA4,false,false,false,true,RL
RPMI,a26Qz000000MlR3IAK,RPMI,a264J000001QEYDQA4,false,false,false,false,
RUFFER,a26Qz000000MlR4IAK,Ruffer,a264J000001QEYEQA4,false,false,false,false,
