DeveloperName__c,FulfilmentType__c,FulfilmentType__r.ReferenceName__c,FulfilmentTypeReference__c,Id,Name,NextStatus__c,ReferenceName__c,RelatedFlow__c,RelatedTaskInformation__c,Status__c,Tasks__c
CLIENT_ACTION_VCT_AWAITING_AD_HOC_ACTION,a2hQz000000UAseIAG,CLIENT_ACTION_VCT,,a2gQz000000tIhBIAU,Awaiting ad hoc action Client action VCT,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_EIS_AWAITING_AD_HOC_ACTION,a2hQz000000UAsfIAG,CLIENT_ACTION_EIS,,a2gQz000000tIhCIAU,Awaiting ad hoc action Client action EIS,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_LIFE_COVER_AWAITING_AD_HOC_ACTION,a2hQz000000UAsgIAG,CLIENT_ACTION_LIFE_COVER,,a2gQz000000tIhDIAU,Awaiting ad hoc action Client action Life cover,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_LIFE_&_CIC_AWAITING_AD_HOC_ACTION,a2hQz000000UAshIAG,CLIENT_ACTION_LIFE_&_CIC,,a2gQz000000tIhEIAU,Awaiting ad hoc action Client action Life & CIC,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_TRUST_AWAITING_AD_HOC_ACTION,a2hQz000000UAsiIAG,CLIENT_ACTION_TRUST,,a2gQz000000tIhFIAU,Awaiting ad hoc action Client action Trust,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
CLIENT_ACTION_NO_PRODUCT_AWAITING_AD_HOC_ACTION,a2hQz000000UAsjIAG,CLIENT_ACTION_NO_PRODUCT,,a2gQz000000tIhGIAU,Awaiting ad hoc action Client action No product,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the client confirmed the action has been completed?
NON-STANDARD_ACTION_SIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UAskIAG,NON-STANDARD_ACTION_SIPP,,a2gQz000000tIhHIAU,Awaiting ad hoc action Non-standard action SIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the relevant provider confirmed the non-standard action has been completed?;Is any follow on fulfilment able to proceed now?
NON-STANDARD_ACTION_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UAslIAG,NON-STANDARD_ACTION_ISA,,a2gQz000000tIhIIAU,Awaiting ad hoc action Non-standard action ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the relevant provider confirmed the non-standard action has been completed?;Is any follow on fulfilment able to proceed now?
NON-STANDARD_ACTION_JISA_AWAITING_AD_HOC_ACTION,a2hQz000000UAsmIAG,NON-STANDARD_ACTION_JISA,,a2gQz000000tIhJIAU,Awaiting ad hoc action Non-standard action JISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the relevant provider confirmed the non-standard action has been completed?;Is any follow on fulfilment able to proceed now?
NON-STANDARD_ACTION_JSIPP_AWAITING_AD_HOC_ACTION,a2hQz000000UAsnIAG,NON-STANDARD_ACTION_JSIPP,,a2gQz000000tIhKIAU,Awaiting ad hoc action Non-standard action JSIPP,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,Has the relevant provider confirmed the non-standard action has been completed?;Is any follow on fulfilment able to proceed now?
