AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,Product__r.ReferenceName__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RecommendationTypeReference__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,true,Not required,false,a2hSl0000004HnGIAU,Cancel Relevant Life Cover,a2YSl0000000kUJMAY,LV_RELEVANT_LIFE,a24Sl000000d2ErIAI,CANCEL_PROTECTION,,CANCEL_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,true,Not required,false,a2hSl0000004HnHIAU,Cancel Family Income Benefit,a2YSl0000000kUIMAY,LV_FIB,a24Sl000000d2ErIAI,CANCEL_PROTECTION,,CANCEL_FAMILY_INCOME_BENEFIT,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,true,Not required,false,a2hSl0000004HnIIAU,Cancel Life Cover,a2YSl0000000kUHMAY,LV_SINGLE_LIFE_COVER,a24Sl000000d2ErIAI,CANCEL_PROTECTION,,CANCEL_LIFE_COVER,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,true,Not required,false,a2hSl0000004HnJIAU,Cancel Income Protection,a2YSl0000000kUKMAY,LV_INCOME_PROTECTION,a24Sl000000d2ErIAI,CANCEL_PROTECTION,,CANCEL_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,true,Not required,false,a2hSl0000004HnKIAU,Cancel Life & CIC,a2YSl0000000kULMAY,LV_LIFE_CIC,a24Sl000000d2ErIAI,CANCEL_PROTECTION,,CANCEL_LIFE_CIC,Not required,
Required,Not required,,,true,Not required,false,a2hSl0000004HnLIAU,Set up provider trust,,,a24Sl000000d2EsIAI,PROVIDER_TRUST,,PROVIDER_TRUST,Not required,
Not required,Required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,true,Not required,false,a2hSl0000004HnMIAU,Open AIG Relevant Life Cover,a2YSl0000000kUOMAY,AIG_RELEVANT_LIFE,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_AIG_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,true,Not required,false,a2hSl0000004HnNIAU,Open AIG Family Income Benefit,a2YSl0000000kUNMAY,AIG_FIB,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_AIG_FAMILY_INCOME_BENEFIT,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,true,Not required,false,a2hSl0000004HnOIAU,Open AIG Life Cover,a2YSl0000000kUMMAY,AIG_SINGLE_LIFE_COVER,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_AIG_LIFE_COVER,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,true,Not required,false,a2hSl0000004HnPIAU,Open AIG Income Protection,a2YSl0000000kUPMAY,AIG_INCOME_PROTECTION,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_AIG_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,true,Not required,false,a2hSl0000004HnQIAU,Open AIG Life & CIC,a2YSl0000000kUQMAY,AIG_LIFE_CIC,a248e000000yLgSAAU,OPEN_PRODUCT,,OPEN_AIG_LIFE_CIC,Not required,
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,true,Not required,false,a2hSl0000004HnRIAU,Cancel Relevant Life Cover,a2YSl0000000kUOMAY,AIG_RELEVANT_LIFE,a24Sl000000d2ErIAI,CANCEL_PROTECTION,,CANCEL_RELEVANT_LIFE_COVER_AIG,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,true,Not required,false,a2hSl0000004HnSIAU,Cancel Family Income Benefit,a2YSl0000000kUNMAY,AIG_FIB,a24Sl000000d2ErIAI,CANCEL_PROTECTION,,CANCEL_FAMILY_INCOME_BENEFIT_AIG,Not required,
