DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
UBS_PENSION_SCHEME_WILLIS_TOWERS_WATSON,UBS_PENSION_SCHEME_WILLIS_TOWERS_WATSON,UBS Pension Scheme (Willis Towers Watson),a264J000001QEYoQAO,False,False,False,False,
UNUM,UNUM,UNUM,a264J000001QEYpQAO,False,False,False,False,
USS,USS,USS,a264J000001QEYqQAO,False,False,False,False,
UTMOST,UTMOST,Utmost,a264J000001QEYrQAO,False,False,False,False,
VIRGIN_MONEY,VIRGIN_MONEY,Virgin Money,a264J000001QEYsQAO,False,False,False,False,
VITALITY,VITALITY,Vitality,a264J000001QEYtQAO,False,False,False,False,
WEALTHIFY,WEALTHIFY,Wealthify,a264J000001QEYuQAO,False,False,False,False,
WESLEYAN_ASSURANCE_SOCIETY,WESLEYAN_ASSURANCE_SOCIETY,Wesleyan Assurance Society,a264J000001QEYvQAO,False,False,False,False,
WEST_YORKSHIRE_PENSION_FUND,WEST_YORKSHIRE_PENSION_FUND,West Yorkshire Pension Fund,a264J000001QEYwQAO,False,False,False,False,
WILLIS_TOWERS_WATSON,WILLIS_TOWERS_WATSON,Willis Towers Watson,a264J000001QEYxQAO,False,False,False,False,
WILLIS_TOWERS_WATSON_BARCLAYS_BANK,WILLIS_TOWERS_WATSON_BARCLAYS_BANK,Willis Towers Watson (Barclays Bank),a264J000001QEYyQAO,False,False,False,False,
WILLIS_TOWERS_WATSON_SOCIETE_GENERALE,WILLIS_TOWERS_WATSON_SOCIETE_GENERALE,Willis Towers Watson (Societe Generale),a264J000001QEYzQAO,False,False,False,False,
WITAN,WITAN,Witan,a264J000001QEZ0QAO,False,False,False,False,
XPS_PENSIONS_GROUP,XPS_PENSIONS_GROUP,XPS Pensions Group,a264J000001QEZ1QAO,False,False,False,False,
YATES_GROUP_JLT_BENEFIT_SOLUTIONS,YATES_GROUP_JLT_BENEFIT_SOLUTIONS,Yates Group (JLT Benefit Solutions),a264J000001QEZ2QAO,False,False,False,False,
ZURICH,ZURICH,Zurich,a264J000001QEZ3QAO,False,False,False,False,
TOTAL_UK_PENSION_BUCK,TOTAL_UK_PENSION_BUCK,Total UK Pension (Buck),a264J000001QFpyQAG,False,False,False,False,
ITV_XPS,ITV_XPS,ITV (XPS),a264J000001QGbWQAW,False,False,False,False,
MOBEUS_EQUITY_PARTNERS,MOBEUS_EQUITY_PARTNERS,Mobeus Equity Partners,a264J000001QH20QAG,False,False,False,False,
OAK_NORTH,OAK_NORTH,Oak North,a264J000001QH3XQAW,False,False,False,False,
VANGUARD_ASSET_MANAGEMENT,VANGUARD_ASSET_MANAGEMENT,Vanguard Asset Management,a264J000001QH3cQAG,False,False,False,False,
UNKNOWN,UNKNOWN,Unknown,a264J000001QHFtQAO,False,False,False,False,
BNY_MELLON,BNY_MELLON,BNY Mellon,a264J000001QHmPQAW,False,False,False,False,
WILLIS_TOWERS_WATSON_LV_EQUALS_,WILLIS_TOWERS_WATSON_LV_EQUALS_,Willis Towers Watson (LV=),a264J000001QHmtQAG,False,False,False,False,
AIG,AIG,AIG,a264J000001QIcNQAW,False,False,False,True,AIG
PUNTER_SOUTHALL,PUNTER_SOUTHALL,Punter Southall,a264J000001QIsJQAW,False,False,False,False,
VANGUARD,VANGUARD,Vanguard,a264J000001QJJ2QAO,False,False,False,False,
BESTINVEST,BESTINVEST,Bestinvest,a264J000001QJMvQAO,False,False,False,False,
SCOTTISH_MUTUAL,SCOTTISH_MUTUAL,Scottish Mutual,a264J000001QPsYQAW,False,False,False,False,
DANSKE_BANK,DANSKE_BANK,Danske Bank,a264J000001QSg6QAG,False,False,False,False,
FRIENDS_LIFE,FRIENDS_LIFE,Friends Life,a264J000001QSgQQAW,False,False,False,False,
UBS_FINANCIAL_SERVICES_INC,UBS_FINANCIAL_SERVICES_INC,UBS Financial Services Inc,a264J000001QTYhQAO,False,False,False,False,
COUTTS,COUTTS,Coutts,a264J000001QXAZQA4,False,False,False,False,
DEAD_HAPPY,DEAD_HAPPY,Dead happy,a264J000001QXAeQAO,False,False,False,False,
GENERALI,GENERALI,Generali,a264J000001QXAjQAO,False,False,False,False,
ARGENTEX,ARGENTEX,Argentex,a264J000001QXAoQAO,False,False,False,False,
